source_file,frame_number,active_class_index,source_number_index,azimuth,elevation,distance,segment_length
fold3_room12_mix001.csv,2062,0,1,-170,-11,155,3
fold3_room12_mix001.csv,2126,0,1,-170,-11,155,55
fold3_room12_mix001.csv,2190,0,1,-170,-12,155,39
fold3_room12_mix001.csv,2237,0,1,-170,-12,155,61
fold3_room12_mix001.csv,2320,0,1,-171,-11,155,83
fold3_room12_mix001.csv,2415,0,1,-170,-12,155,8
fold3_room12_mix001.csv,2482,0,1,-170,-11,155,17
fold3_room12_mix001.csv,2514,0,1,-170,-11,155,10
fold3_room12_mix002.csv,31,0,1,168,-12,150,10
fold3_room12_mix002.csv,210,0,1,169,-11,150,109
fold3_room12_mix002.csv,329,0,1,169,-12,150,5
fold3_room12_mix002.csv,340,0,1,169,-11,149,73
fold3_room12_mix002.csv,420,0,1,170,-11,151,32
fold3_room12_mix002.csv,458,0,1,169,-12,150,14
fold3_room12_mix002.csv,479,0,1,169,-12,150,18
fold3_room12_mix002.csv,504,0,1,170,-11,148,1
fold3_room12_mix002.csv,509,0,1,169,-11,149,12
fold3_room12_mix002.csv,537,0,1,170,-11,149,31
fold3_room12_mix002.csv,574,0,1,169,-11,149,21
fold3_room12_mix002.csv,647,0,1,170,-11,148,35
fold3_room12_mix002.csv,685,0,1,170,-11,150,39
fold3_room12_mix002.csv,731,0,1,169,-12,150,26
fold3_room12_mix002.csv,761,0,1,170,-11,150,22
fold3_room12_mix002.csv,791,0,1,169,-12,149,19
fold3_room12_mix002.csv,815,0,1,170,-12,149,4
fold3_room12_mix002.csv,827,0,1,169,-12,149,18
fold3_room12_mix002.csv,848,0,1,170,-11,150,1
fold3_room12_mix002.csv,854,0,1,169,-11,149,44
fold3_room12_mix002.csv,915,0,1,171,-11,149,6
fold3_room12_mix002.csv,927,0,1,170,-10,151,36
fold3_room12_mix002.csv,969,0,1,170,-12,150,10
fold3_room12_mix002.csv,982,0,1,170,-12,150,14
fold3_room12_mix002.csv,1012,0,1,170,-12,150,4
fold3_room12_mix002.csv,1267,0,1,171,-11,150,1
fold3_room12_mix002.csv,1290,0,1,170,-11,149,40
fold3_room12_mix002.csv,1333,0,1,170,-12,151,6
fold3_room12_mix002.csv,1345,0,1,170,-11,150,59
fold3_room12_mix002.csv,1416,0,1,170,-11,150,9
fold3_room12_mix002.csv,1438,0,1,170,-11,149,15
fold3_room12_mix002.csv,1573,0,1,170,-11,150,6
fold3_room12_mix002.csv,1859,0,1,170,-11,150,6
fold3_room12_mix002.csv,1873,0,1,170,-11,151,15
fold3_room12_mix002.csv,2093,0,1,170,-11,151,61
fold3_room12_mix002.csv,2157,0,1,170,-12,151,22
fold3_room12_mix004.csv,2970,0,1,169,-17,105,5
fold3_room12_mix004.csv,2978,0,1,169,-18,105,24
fold3_room12_mix004.csv,3056,0,1,168,-19,104,5
fold3_room12_mix004.csv,3070,0,1,168,-18,104,89
fold3_room12_mix004.csv,3184,0,1,168,-19,106,13
fold3_room12_mix004.csv,3271,0,1,162,-19,102,37
fold3_room12_mix004.csv,3331,0,1,165,-18,104,5
fold3_room12_mix006.csv,99,0,2,156,-14,124,1
fold3_room12_mix006.csv,108,0,2,155,-13,128,9
fold3_room12_mix006.csv,178,0,2,154,-14,124,4
fold3_room12_mix006.csv,187,0,2,158,-13,131,9
fold3_room12_mix006.csv,206,0,2,158,-14,131,30
fold3_room12_mix006.csv,241,0,1,-177,-15,139,4
fold3_room12_mix006.csv,254,0,1,-175,-15,139,19
fold3_room12_mix006.csv,283,0,1,-176,-14,139,51
fold3_room12_mix006.csv,335,0,2,158,-14,132,14
fold3_room12_mix006.csv,358,0,1,-176,-15,140,4
fold3_room12_mix006.csv,364,0,1,-177,-15,140,1
fold3_room12_mix006.csv,460,0,2,154,-14,122,3
fold3_room12_mix006.csv,496,0,2,155,-14,124,6
fold3_room12_mix006.csv,506,0,2,155,-14,127,13
fold3_room12_mix006.csv,532,0,2,156,-14,129,17
fold3_room12_mix006.csv,553,0,1,-177,-15,140,4
fold3_room12_mix006.csv,558,0,2,154,-14,125,4
fold3_room12_mix006.csv,571,0,2,155,-13,128,13
fold3_room12_mix006.csv,602,0,2,155,-15,127,19
fold3_room12_mix006.csv,636,0,2,156,-13,128,2
fold3_room12_mix006.csv,648,0,2,156,-13,127,72
fold3_room12_mix006.csv,736,0,2,156,-14,131,3
fold3_room12_mix006.csv,749,0,1,-176,-15,140,5
fold3_room12_mix006.csv,759,0,2,158,-13,133,9
fold3_room12_mix006.csv,803,0,2,154,-14,125,4
fold3_room12_mix006.csv,880,0,2,153,-12,127,2
fold3_room12_mix006.csv,896,0,1,-177,-15,140,1
fold3_room12_mix006.csv,902,0,2,157,-13,132,27
fold3_room12_mix006.csv,934,0,1,-177,-15,140,5
fold3_room12_mix006.csv,944,0,2,156,-14,133,4
fold3_room12_mix006.csv,952,0,1,-176,-15,140,2
fold3_room12_mix006.csv,958,0,2,154,-14,129,11
fold3_room12_mix006.csv,998,0,2,154,-12,137,23
fold3_room12_mix006.csv,1025,0,1,-177,-14,138,12
fold3_room12_mix006.csv,1039,0,2,157,-14,137,26
fold3_room12_mix006.csv,1069,0,1,-178,-15,140,31
fold3_room12_mix006.csv,1104,0,2,157,-13,137,3
fold3_room12_mix006.csv,1115,0,1,-178,-15,140,7
fold3_room12_mix006.csv,1131,0,1,-179,-14,141,22
fold3_room12_mix006.csv,1161,0,1,-178,-14,141,31
fold3_room12_mix006.csv,1198,0,1,-176,-16,141,43
fold3_room12_mix006.csv,1242,0,2,153,-12,155,3
fold3_room12_mix006.csv,1246,0,1,-178,-14,141,52
fold3_room12_mix006.csv,1300,0,2,154,-10,156,6
fold3_room12_mix006.csv,1313,0,1,-178,-14,142,46
fold3_room12_mix006.csv,1370,0,1,-178,-14,142,4
fold3_room12_mix006.csv,1382,0,2,152,-11,154,62
fold3_room12_mix006.csv,1452,0,1,-178,-14,142,1
fold3_room12_mix006.csv,1462,0,1,-178,-14,142,5
fold3_room12_mix006.csv,1471,0,2,156,-12,150,31
fold3_room12_mix006.csv,1510,0,1,-176,-14,139,9
fold3_room12_mix006.csv,1521,0,1,-176,-14,140,7
fold3_room12_mix007.csv,137,0,1,4,-1,302,3
fold3_room12_mix007.csv,228,0,2,124,-19,104,4
fold3_room12_mix007.csv,298,0,1,-115,-17,120,16
fold3_room12_mix007.csv,356,0,2,126,-17,104,16
fold3_room12_mix007.csv,375,0,1,-120,-17,120,3
fold3_room12_mix007.csv,380,0,1,-120,-17,120,3
fold3_room12_mix007.csv,386,0,2,123,-17,104,4
fold3_room12_mix007.csv,397,0,2,128,-18,105,21
fold3_room12_mix007.csv,444,0,2,125,-22,103,4
fold3_room12_mix007.csv,454,0,1,-120,-16,120,18
fold3_room12_mix007.csv,473,0,2,130,-22,104,6
fold3_room12_mix007.csv,481,0,1,-119,-17,121,1
fold3_room12_mix007.csv,484,0,1,-119,-17,121,8
fold3_room12_mix007.csv,537,0,2,126,-16,107,4
fold3_room12_mix007.csv,548,0,2,126,-17,105,29
fold3_room12_mix007.csv,593,0,2,123,-19,105,3
fold3_room12_mix007.csv,632,0,2,122,-18,103,4
fold3_room12_mix007.csv,755,0,2,122,-17,101,5
fold3_room12_mix007.csv,770,0,2,121,-19,104,6
fold3_room12_mix007.csv,778,0,2,121,-19,104,6
fold3_room12_mix007.csv,787,0,2,122,-19,103,8
fold3_room12_mix007.csv,797,0,1,-119,-17,121,13
fold3_room12_mix007.csv,813,0,2,127,-18,103,5
fold3_room12_mix007.csv,823,0,2,127,-18,103,8
fold3_room12_mix007.csv,854,0,2,124,-18,103,22
fold3_room12_mix007.csv,895,0,1,-120,-17,121,42
fold3_room12_mix007.csv,951,0,1,-120,-17,120,6
fold3_room12_mix007.csv,958,0,2,126,-17,105,11
fold3_room12_mix007.csv,975,0,2,125,-18,107,67
fold3_room12_mix007.csv,1047,0,2,122,-15,109,9
fold3_room12_mix007.csv,1088,0,2,122,-17,103,9
fold3_room12_mix007.csv,1101,0,2,124,-17,104,22
fold3_room12_mix007.csv,1135,0,2,120,-12,129,18
fold3_room12_mix007.csv,1192,0,2,126,-16,105,19
fold3_room12_mix007.csv,1216,0,1,-128,-22,88,18
fold3_room12_mix007.csv,1243,0,1,-129,-22,90,65
fold3_room12_mix007.csv,1318,0,2,123,-17,105,13
fold3_room12_mix007.csv,1467,0,2,119,-19,105,3
fold3_room12_mix007.csv,1481,0,2,124,-19,104,4
fold3_room12_mix007.csv,1489,0,1,-117,-17,115,6
fold3_room12_mix007.csv,1504,0,2,122,-18,103,18
fold3_room12_mix007.csv,1547,0,2,122,-19,105,6
fold3_room12_mix007.csv,1560,0,2,124,-19,106,9
fold3_room12_mix007.csv,1570,0,2,124,-20,107,3
fold3_room12_mix007.csv,1587,0,1,-120,-19,108,8
fold3_room12_mix007.csv,1603,0,2,123,-16,113,7
fold3_room12_mix007.csv,1633,0,1,-117,-18,114,3
fold3_room12_mix007.csv,2082,0,1,-130,-22,91,5
fold3_room12_mix007.csv,2097,0,1,-130,-23,91,15
fold3_room12_mix007.csv,2115,0,2,127,-17,109,18
fold3_room12_mix007.csv,2233,0,2,123,-16,107,3
fold3_room12_mix007.csv,2382,0,1,-133,-22,87,12
fold3_room12_mix007.csv,2402,0,2,120,-16,113,6
fold3_room12_mix007.csv,2436,0,1,-125,-20,94,4
fold3_room12_mix007.csv,2450,0,2,127,-16,106,2
fold3_room12_mix008.csv,1977,0,2,-160,-18,116,6
fold3_room12_mix008.csv,1985,0,1,120,-18,123,7
fold3_room12_mix008.csv,2014,0,2,-161,-17,114,3
fold3_room12_mix008.csv,2027,0,1,118,-17,124,7
fold3_room12_mix008.csv,2053,0,1,116,-18,121,1
fold3_room12_mix008.csv,2093,0,2,-167,-18,118,1
fold3_room12_mix008.csv,2096,0,1,116,-18,129,30
fold3_room12_mix008.csv,2131,0,2,-165,-19,119,4
fold3_room12_mix008.csv,2137,0,1,116,-18,128,6
fold3_room12_mix008.csv,2146,0,2,-160,-16,116,21
fold3_room12_mix008.csv,2177,0,2,-160,-17,116,16
fold3_room12_mix008.csv,2208,0,1,115,-17,128,2
fold3_room12_mix008.csv,2213,0,2,-161,-17,116,7
fold3_room12_mix008.csv,2224,0,1,116,-17,128,4
fold3_room12_mix008.csv,2233,0,2,-161,-17,116,48
fold3_room12_mix008.csv,2291,0,2,-160,-17,122,15
fold3_room12_mix008.csv,2307,0,1,115,-17,130,3
fold3_room12_mix008.csv,2317,0,2,-162,-16,123,13
fold3_room12_mix008.csv,2334,0,1,118,-16,133,4
fold3_room12_mix008.csv,2341,0,2,-161,-13,125,29
fold3_room12_mix008.csv,2401,0,2,-162,-17,122,3
fold3_room12_mix008.csv,2410,0,2,-161,-15,119,8
fold3_room12_mix008.csv,2426,0,2,-161,-15,120,8
fold3_room13_mix001.csv,28,0,1,1,-6,237,26
fold3_room13_mix001.csv,126,0,2,-66,-14,121,1
fold3_room13_mix001.csv,138,0,2,-66,-14,122,19
fold3_room13_mix001.csv,205,0,2,-66,-14,122,3
fold3_room13_mix001.csv,245,0,2,-66,-14,122,2
fold3_room13_mix001.csv,279,0,2,-66,-14,122,20
fold3_room13_mix001.csv,335,0,2,-66,-14,123,3
fold3_room13_mix001.csv,349,0,2,-66,-14,122,21
fold3_room13_mix001.csv,378,0,2,-66,-14,122,29
fold3_room13_mix001.csv,418,0,2,-66,-14,122,11
fold3_room13_mix001.csv,436,0,1,1,-6,238,8
fold3_room13_mix001.csv,449,0,2,-66,-14,120,12
fold3_room13_mix001.csv,473,0,1,2,-6,238,16
fold3_room13_mix001.csv,504,0,2,-67,-14,114,13
fold3_room13_mix001.csv,536,0,1,1,-6,238,12
fold3_room13_mix001.csv,550,0,1,1,-6,238,42
fold3_room13_mix001.csv,625,0,2,-66,-14,120,9
fold3_room13_mix001.csv,643,0,1,1,-6,237,2
fold3_room13_mix001.csv,649,0,2,-66,-15,121,10
fold3_room13_mix001.csv,669,0,2,-66,-14,120,11
fold3_room13_mix001.csv,681,0,1,2,-6,238,34
fold3_room13_mix001.csv,725,0,1,2,-6,236,26
fold3_room13_mix001.csv,767,0,1,2,-6,236,65
fold3_room13_mix001.csv,873,0,1,1,-5,237,24
fold3_room13_mix001.csv,934,0,1,1,-6,237,15
fold3_room13_mix001.csv,967,0,2,-66,-14,121,14
fold3_room13_mix001.csv,1018,0,2,-66,-13,122,11
fold3_room13_mix001.csv,1065,0,2,-66,-15,121,6
fold3_room13_mix001.csv,1080,0,2,-66,-15,122,14
fold3_room13_mix001.csv,1119,0,2,-66,-14,123,19
fold3_room13_mix001.csv,1172,0,2,-66,-14,123,8
fold3_room13_mix001.csv,1202,0,2,-66,-14,117,45
fold3_room13_mix001.csv,1341,0,1,1,-6,238,42
fold3_room13_mix001.csv,1396,0,1,2,-6,238,5
fold3_room13_mix001.csv,1427,0,1,1,-6,237,43
fold3_room13_mix001.csv,1492,0,2,-65,-14,121,44
fold3_room13_mix001.csv,1567,0,2,-66,-14,119,43
fold3_room13_mix001.csv,1701,0,2,-66,-14,118,82
fold3_room13_mix001.csv,1803,0,2,-66,-14,117,34
fold3_room13_mix001.csv,1850,0,2,-66,-14,117,20
fold3_room13_mix001.csv,1923,0,2,-66,-14,122,13
fold3_room13_mix001.csv,1943,0,2,-66,-14,121,12
fold3_room13_mix001.csv,1979,0,2,-66,-13,122,4
fold3_room13_mix001.csv,1996,0,2,-66,-14,122,24
fold3_room13_mix001.csv,2031,0,2,-65,-13,119,16
fold3_room13_mix001.csv,2050,0,1,2,-6,237,22
fold3_room13_mix001.csv,2112,0,2,-66,-14,124,56
fold3_room13_mix001.csv,2202,0,2,-66,-14,124,36
fold3_room13_mix001.csv,2244,0,1,2,-6,237,104
fold3_room13_mix001.csv,2376,0,1,1,-6,237,26
fold3_room13_mix001.csv,2427,0,1,1,-6,237,2
fold3_room13_mix001.csv,2462,0,2,-66,-14,123,20
fold3_room13_mix001.csv,2520,0,2,-66,-13,120,12
fold3_room13_mix001.csv,2551,0,2,-66,-14,124,4
fold3_room13_mix001.csv,2569,0,2,-66,-14,122,13
fold3_room13_mix001.csv,2600,0,2,-66,-14,118,8
fold3_room13_mix002.csv,25,0,2,4,-7,210,4
fold3_room13_mix002.csv,36,0,2,4,-7,208,8
fold3_room13_mix002.csv,56,0,2,5,-6,210,23
fold3_room13_mix002.csv,153,0,2,5,-7,210,9
fold3_room13_mix002.csv,261,0,2,4,-7,203,44
fold3_room13_mix002.csv,328,0,2,4,-7,211,4
fold3_room13_mix002.csv,338,0,2,3,-7,209,18
fold3_room13_mix002.csv,362,0,1,-53,8,140,37
fold3_room13_mix002.csv,414,0,2,3,-7,208,60
fold3_room13_mix002.csv,485,0,2,5,-6,218,53
fold3_room13_mix002.csv,569,0,2,4,-6,207,35
fold3_room13_mix002.csv,646,0,2,5,-7,209,13
fold3_room13_mix002.csv,662,0,1,-54,9,140,29
fold3_room13_mix002.csv,699,0,1,-55,9,141,19
fold3_room13_mix002.csv,721,0,1,-54,9,140,51
fold3_room13_mix002.csv,779,0,2,2,-6,213,4
fold3_room13_mix002.csv,784,0,1,-55,9,141,14
fold3_room13_mix002.csv,820,0,2,3,-7,206,6
fold3_room13_mix002.csv,939,0,2,3,-6,219,36
fold3_room13_mix002.csv,989,0,2,4,-7,207,14
fold3_room13_mix002.csv,1021,0,2,4,-7,207,64
fold3_room13_mix002.csv,1088,0,1,-53,9,141,25
fold3_room13_mix002.csv,1118,0,1,-54,9,141,35
fold3_room13_mix002.csv,1163,0,1,-54,9,138,59
fold3_room13_mix002.csv,1266,0,2,4,-7,209,2
fold3_room13_mix002.csv,1270,0,1,-54,9,140,1
fold3_room13_mix002.csv,1283,0,2,4,-7,209,31
fold3_room13_mix002.csv,1338,0,2,5,-7,211,5
fold3_room13_mix002.csv,1361,0,2,4,-7,209,87
fold3_room13_mix002.csv,1475,0,2,4,-7,209,11
fold3_room13_mix002.csv,1522,0,2,5,-8,211,6
fold3_room13_mix002.csv,1530,0,2,5,-8,211,26
fold3_room13_mix002.csv,1573,0,2,5,-7,213,13
fold3_room13_mix002.csv,1616,0,2,6,-6,214,6
fold3_room13_mix002.csv,1652,0,2,4,-6,215,135
fold3_room13_mix002.csv,1898,0,2,5,-7,210,1
fold3_room13_mix002.csv,1913,0,2,5,-7,214,31
fold3_room13_mix002.csv,2003,0,2,5,-7,211,117
fold3_room13_mix002.csv,2128,0,2,6,-7,213,23
fold3_room13_mix002.csv,2268,0,2,4,-7,209,3
fold3_room13_mix002.csv,2284,0,1,-55,8,142,57
fold3_room13_mix002.csv,2353,0,1,-54,9,138,19
fold3_room13_mix002.csv,2374,0,1,-51,9,141,18
fold3_room13_mix002.csv,2401,0,1,-55,9,139,46
fold3_room13_mix002.csv,2454,0,1,-55,9,138,31
fold3_room13_mix002.csv,2496,0,1,-55,9,143,31
fold3_room13_mix002.csv,2538,0,1,-53,9,142,28
fold3_room13_mix002.csv,2584,0,1,-53,9,139,15
fold3_room13_mix002.csv,2603,0,1,-53,9,138,109
fold3_room13_mix002.csv,2715,0,2,2,-6,208,4
fold3_room13_mix002.csv,2747,0,1,-54,9,135,31
fold3_room13_mix002.csv,2815,0,2,4,-7,210,34
fold3_room13_mix002.csv,2876,0,2,4,-7,212,17
fold3_room13_mix003.csv,23,0,2,53,-17,96,5
fold3_room13_mix003.csv,39,0,2,50,-16,100,30
fold3_room13_mix003.csv,144,0,2,48,-14,109,16
fold3_room13_mix003.csv,207,0,2,48,-16,110,24
fold3_room13_mix003.csv,284,0,1,-21,-10,124,1
fold3_room13_mix003.csv,292,0,1,-21,-10,125,35
fold3_room13_mix003.csv,344,0,1,-21,-10,123,1
fold3_room13_mix003.csv,349,0,2,52,-16,96,12
fold3_room13_mix003.csv,363,0,1,-21,-10,123,18
fold3_room13_mix003.csv,389,0,1,-21,-10,124,16
fold3_room13_mix003.csv,406,0,2,51,-17,98,7
fold3_room13_mix003.csv,423,0,2,51,-17,98,30
fold3_room13_mix003.csv,460,0,1,-21,-10,122,6
fold3_room13_mix003.csv,477,0,1,-21,-10,123,41
fold3_room13_mix003.csv,521,0,2,52,-17,97,3
fold3_room13_mix003.csv,534,0,1,-21,-10,122,30
fold3_room13_mix003.csv,595,0,2,51,-17,98,18
fold3_room13_mix003.csv,621,0,1,-21,-10,122,5
fold3_room13_mix003.csv,635,0,1,-21,-10,122,9
fold3_room13_mix003.csv,660,0,1,-21,-10,122,81
fold3_room13_mix003.csv,753,0,1,-21,-10,122,8
fold3_room13_mix003.csv,772,0,1,-21,-10,122,4
fold3_room13_mix003.csv,780,0,2,52,-17,98,16
fold3_room13_mix003.csv,799,0,1,-21,-10,122,39
fold3_room13_mix003.csv,858,0,2,52,-17,95,9
fold3_room13_mix003.csv,875,0,2,52,-18,96,3
fold3_room13_mix003.csv,895,0,1,-20,3,162,2
fold3_room13_mix003.csv,936,0,1,-22,3,280,6
fold3_room13_mix003.csv,1007,0,2,50,-16,102,15
fold3_room13_mix003.csv,1068,0,1,-20,-9,126,14
fold3_room13_mix003.csv,1119,0,2,52,-16,97,24
fold3_room13_mix003.csv,1151,0,2,51,-16,98,7
fold3_room13_mix003.csv,1170,0,2,52,-16,95,20
fold3_room13_mix003.csv,1201,0,1,-20,-10,124,14
fold3_room13_mix003.csv,1223,0,2,51,-16,97,34
fold3_room13_mix003.csv,1271,0,2,53,-17,97,24
fold3_room13_mix003.csv,1309,0,2,53,-18,97,34
fold3_room13_mix003.csv,1355,0,1,-20,-10,124,41
fold3_room13_mix003.csv,1408,0,2,50,-16,102,1
fold3_room13_mix003.csv,1418,0,2,50,-17,101,19
fold3_room13_mix003.csv,1492,0,2,49,-14,106,4
fold3_room13_mix003.csv,1512,0,1,-20,-10,126,9
fold3_room13_mix003.csv,1534,0,1,-21,-10,126,5
fold3_room13_mix003.csv,1544,0,2,52,-17,96,35
fold3_room13_mix003.csv,1589,0,2,54,-18,97,7
fold3_room13_mix003.csv,1599,0,2,53,-17,96,5
fold3_room13_mix003.csv,1608,0,1,-20,-9,124,26
fold3_room13_mix003.csv,1637,0,1,-19,-10,125,9
fold3_room13_mix003.csv,1688,0,2,50,-16,102,65
fold3_room13_mix003.csv,1896,0,2,49,-16,107,6
fold3_room13_mix003.csv,1948,0,2,49,-15,106,44
fold3_room13_mix003.csv,2003,0,2,52,-15,96,18
fold3_room13_mix004.csv,40,0,1,-44,3,421,9
fold3_room13_mix004.csv,55,0,1,-44,3,421,3
fold3_room13_mix004.csv,334,0,1,-20,-8,133,31
fold3_room13_mix004.csv,367,0,2,31,-5,226,21
fold3_room13_mix004.csv,392,0,1,-19,-9,131,2
fold3_room13_mix004.csv,474,0,1,-22,-8,143,11
fold3_room13_mix004.csv,499,0,1,-21,-8,143,12
fold3_room13_mix004.csv,614,0,2,32,-6,234,29
fold3_room13_mix004.csv,651,0,1,-27,-11,129,69
fold3_room13_mix004.csv,734,0,2,29,-6,225,37
fold3_room13_mix004.csv,813,0,1,-25,-8,146,13
fold3_room13_mix004.csv,857,0,2,28,-7,226,50
fold3_room13_mix004.csv,925,0,2,28,-7,226,51
fold3_room13_mix004.csv,987,0,1,-25,-11,127,25
fold3_room13_mix004.csv,1013,0,2,29,-7,226,40
fold3_room13_mix004.csv,1069,0,2,28,-7,227,17
fold3_room13_mix004.csv,1122,0,1,-26,-11,127,21
fold3_room13_mix004.csv,1191,0,1,-25,-12,127,4
fold3_room13_mix004.csv,1233,0,2,28,-7,228,67
fold3_room13_mix004.csv,1332,0,1,-27,-10,129,29
fold3_room13_mix004.csv,1452,0,2,29,-7,226,25
fold3_room13_mix006.csv,57,0,2,-101,-18,102,5
fold3_room13_mix006.csv,68,0,2,-101,-18,102,17
fold3_room13_mix006.csv,130,0,2,-101,-18,101,46
fold3_room13_mix006.csv,188,0,2,-101,-19,102,21
fold3_room13_mix006.csv,417,0,2,-99,-19,101,17
fold3_room13_mix006.csv,439,0,2,-100,-19,100,7
fold3_room13_mix006.csv,644,0,2,-99,-19,97,38
fold3_room13_mix006.csv,686,0,2,-100,-19,100,14
fold3_room13_mix006.csv,859,0,2,-100,-19,98,48
fold3_room13_mix006.csv,936,0,2,-103,-17,105,31
fold3_room13_mix006.csv,976,0,2,-101,-18,105,17
fold3_room13_mix006.csv,997,0,2,-101,-19,103,35
fold3_room13_mix006.csv,1145,0,2,-100,-18,103,50
fold3_room13_mix006.csv,1221,0,2,-101,-18,99,10
fold3_room13_mix006.csv,1273,0,2,-99,-18,101,61
fold3_room13_mix006.csv,1350,0,2,-99,-19,106,21
fold3_room13_mix006.csv,1374,0,2,-110,-16,114,34
fold3_room13_mix006.csv,1411,0,2,-109,-17,113,21
fold3_room13_mix006.csv,1436,0,2,-109,-16,113,56
fold3_room13_mix006.csv,1494,0,2,-101,-18,98,21
fold3_room13_mix006.csv,1518,0,2,-101,-19,99,16
fold3_room13_mix006.csv,1537,0,2,-100,-20,96,25
fold3_room13_mix006.csv,1569,0,2,-101,-20,96,17
fold3_room13_mix006.csv,1851,0,2,-109,-16,113,6
fold3_room13_mix006.csv,1889,0,2,-110,-16,113,11
fold3_room13_mix006.csv,2007,0,2,-110,-15,115,54
fold3_room13_mix006.csv,2134,0,2,-111,-17,112,15
fold3_room13_mix006.csv,2204,0,2,-111,-17,113,42
fold3_room13_mix006.csv,2250,0,2,-111,-17,115,7
fold3_room13_mix006.csv,2269,0,2,-111,-17,114,24
fold3_room13_mix006.csv,2339,0,2,-109,-16,115,36
fold3_room13_mix006.csv,2378,0,2,-109,-16,115,9
fold3_room13_mix006.csv,2390,0,2,-109,-16,117,23
fold3_room13_mix006.csv,2463,0,2,-110,-16,116,39
fold3_room13_mix006.csv,2566,0,2,-110,-16,116,28
fold3_room13_mix006.csv,2597,0,2,-110,-17,115,12
fold3_room13_mix006.csv,2611,0,2,-110,-17,115,9
fold3_room13_mix006.csv,2633,0,2,-110,-17,115,38
fold3_room13_mix006.csv,2676,0,2,-110,-16,115,68
fold3_room13_mix006.csv,2756,0,2,-110,-16,115,6
fold3_room13_mix006.csv,2856,0,2,-112,-17,112,9
fold3_room13_mix006.csv,2938,0,2,-111,-16,114,19
fold3_room13_mix007.csv,27,0,2,-119,-15,128,11
fold3_room13_mix007.csv,50,0,2,-119,-15,129,45
fold3_room13_mix007.csv,100,0,3,-2,-4,254,3
fold3_room13_mix007.csv,105,0,2,-119,-16,128,9
fold3_room13_mix007.csv,118,0,3,-2,-3,255,17
fold3_room13_mix007.csv,139,0,2,-119,-16,128,3
fold3_room13_mix007.csv,148,0,3,-2,-4,255,20
fold3_room13_mix007.csv,191,0,3,-2,-4,254,1
fold3_room13_mix007.csv,195,0,3,-2,-4,254,36
fold3_room13_mix007.csv,241,0,3,-3,-4,255,10
fold3_room13_mix007.csv,253,0,2,-119,-16,128,13
fold3_room13_mix007.csv,273,0,2,-119,-16,129,13
fold3_room13_mix007.csv,297,0,3,-3,-4,254,15
fold3_room13_mix007.csv,330,0,3,-2,-4,255,21
fold3_room13_mix007.csv,361,0,2,-119,-16,128,4
fold3_room13_mix007.csv,378,0,3,-3,-4,254,33
fold3_room13_mix007.csv,419,0,2,-119,-16,128,16
fold3_room13_mix007.csv,447,0,3,-2,-4,255,7
fold3_room13_mix007.csv,466,0,3,-2,-4,255,108
fold3_room13_mix007.csv,578,0,2,-119,-16,128,2
fold3_room13_mix007.csv,584,0,3,-4,-4,256,127
